old_odor,new_odor
rubbery,rubber
rose dried rose,rose
flowery,flower
licorice black licorice,licorice
barley roasted barley,barley
tomato leaf,tomato
almond bitter almond,almond
melon rind,melon
lemon peel,lemon
eggy,egg
sugar brown sugar,sugar
cheesy feta cheese,cheese
peanut roasted peanut,peanut
berry ripe berry,berry
peely,peel
musky,musk
egg yolk,egg
leathery,leather
bean green bean,bean
beefy,beef
concorde grape,grape
plum skin,plum
banana ripe banana,banana
cucumber skin,cucumber
sage clary sage,sage
fruit overripe fruit,fruit
cheesy roquefort cheese,cheese
valerian root,valerian
chicken fat,chicken
melon unripe melon,melon
cloth laundered cloth,cloth
grape skin,grape
fruit dried fruit,fruit
sweaty,sweat
violet leaf,violet
rose red rose,rose
bready,bread
cheesy parmesan cheese,cheese
currant black currant,currant
carrot seed,carrot
winey,wine
muttony,mutton
banana unripe banana,banana
mossy,moss
pepper bell pepper,pepper
fruit ripe fruit,fruit
fir needle,fir
rose tea rose,rose
orange bitter orange,orange
onion cooked onion,onion
peanut butter,peanut
pea green pea,pea
hazelnut roasted hazelnut,hazelnut
grain toasted grain,grain
potato chip,potato
citrus rind,citrus
currant bud black currant bud,currant
rosey,rose
grassy,grass
beef juice,beef
meaty roasted meaty,meaty
banana peel,banana
oily,oil
potato baked potato,potato
buttery,butter
potato raw potato,potato
chicken roasted chicken,chicken
cheesy limburger cheese,cheese
woody,wood
apple cooked apple,apple
beefy roasted beefy,beefy
leafy,leaf
tea black tea,tea
chocolate dark chocolate,chocolate
cheesy bleu cheese,cheese
milky,milk
grapefruit peel,grapefruit
orange rind,orange
cherry maraschino cherry,cherry
bread rye bread,bread
almond roasted almond,almond
pepper black pepper,pepper
citrus peel,citrus
bread baked,bread
almond toasted almond,almond
orange peel,orange
minty,mint
coffee roasted coffee,coffee
tea green tea,tea
onion green onion,onion
sugar burnt sugar,sugar
sausage smoked sausage,sausage
apple green apple,apple
apple skin,apple
nut skin,nut
apple dried apple,apple
fishy,fish
fruity,fruit
corn chip,corn
pear skin,pear
fruit tropical fruit,fruit
black currant,currant
meaty,meat
watermelon rind,watermelon
nut flesh,nut
